class=talents,,,,,
name,affectedAbilities,rank,modifierType,modifier,playerTaken
string,string,int,string,double,boolean
improvedHeroicStrike,ability:heroicStrike,1,rage,-1,TRUE
improvedHeroicStrike,ability:heroicStrike,2,rage,-2,TRUE
improvedHeroicStrike,ability:heroicStrike,3,rage,-3,TRUE
deflection,ability:parry,1,parry,0.01,FALSE
deflection,ability:parry,2,parry,0.02,FALSE
deflection,ability:parry,3,parry,0.03,FALSE
deflection,ability:parry,4,parry,0.04,FALSE
deflection,ability:parry,5,parry,0.05,FALSE
rend,ability:rend,1,multiplier,1.1,TRUE
rend,ability:rend,2,multiplier,1.2,TRUE
improvedCharge,ability:charge,1,initialRage,5,TRUE
improvedCharge,ability:charge,2,initialRage,10,TRUE
tacticalMastery,stanceChange:rageRetention,1,rageRetention,5,TRUE
tacticalMastery,stanceChange:rageRetention,2,rageRetention,10,TRUE
tacticalMastery,stanceChange:rageRetention,3,rageRetention,15,TRUE
ironWill,resist,1,resistStunCharm,0.07,FALSE
ironWill,resist,2,resistStunCharm,0.14,FALSE
ironWill,resist,3,resistStunCharm,0.2,FALSE
improvedOverpower,ability:overpower,1,critChance,0.25,FALSE
improvedOverpower,ability:overpower,2,critChance,0.5,FALSE
angerManagment,resource:rageGeneration,1,ragePerSecond,0.033,TRUE
impale,ability:all,1,critDamageBonus,0.1,TRUE
impale,ability:all,2,critDamageBonus,0.2,TRUE
deepWounds,ability:all,1,bleed,0.16,TRUE
deepWounds,ability:all,2,bleed,0.32,TRUE
deepWounds,ability:all,3,bleed,0.48,TRUE
twoHandedWeaponSpecialization,ability:all,1,multiplier,1.02,TRUE
twoHandedWeaponSpecialization,ability:all,2,multiplier,1.04,TRUE
twoHandedWeaponSpecialization,ability:all,3,multiplier,1.06,TRUE
tasteForBlood,ability:rend,1,proc,0.33,TRUE
tasteForBlood,ability:rend,2,proc,0.66,TRUE
tasteForBlood,ability:rend,3,proc,1,TRUE
poleAxeSpecialization,ability:all,1,critChance,0.01,TRUE
poleAxeSpecialization,ability:all,2,critChance,0.02,TRUE
poleAxeSpecialization,ability:all,3,critChance,0.03,TRUE
poleAxeSpecialization,ability:all,4,critChance,0.04,TRUE
poleAxeSpecialization,ability:all,5,critChance,0.05,TRUE
sweepingStrikes,ability:all,1,hitCount,2,TRUE
maceSpecialization,rating:armorPen,1,additive,0.03,FALSE
maceSpecialization,rating:armorPen,2,additive,0.06,FALSE
maceSpecialization,rating:armorPen,3,additive,0.09,FALSE
maceSpecialization,rating:armorPen,4,additive,0.12,FALSE
maceSpecialization,rating:armorPen,5,additive,0.15,FALSE
swordSpecialization,ability:swordSpecFreeAttack,1,additive,0.02,FALSE
swordSpecialization,ability:swordSpecFreeAttack,2,additive,0.04,FALSE
swordSpecialization,ability:swordSpecFreeAttack,3,additive,0.06,FALSE
swordSpecialization,ability:swordSpecFreeAttack,4,additive,0.08,FALSE
swordSpecialization,ability:swordSpecFreeAttack,5,additive,0.1,FALSE
weaponMastery,table:hitTable,1,additive,-0.01,TRUE
weaponMastery,table:hitTable,2,additive,-0.02,TRUE
trauma,abilityType:bleed,1,multiplier,1.15,TRUE
trauma,abilityType:bleed,2,multiplier,1.3,TRUE
improvedSlam,ability:slam,1,castTimeReduction,-0.5,TRUE
improvedSlam,ability:slam,2,castTimeReduction,-1,TRUE
mortalStrike,ability:mortalStrike,1,enable,1,TRUE
strengthOfArms,attribute:strength,1,multiplier,1.02,TRUE
strengthOfArms,attribute:strength,2,multiplier,1.04,TRUE
bloodFrenzy,rating:haste;abilityType:bleed,1,multiplier,1.15,TRUE
bloodFrenzy,rating:haste;abilityType:bleed,2,multiplier,1.3,TRUE
endlessRage,resource:rageGeneration,1,multiplier,1.25,TRUE
juggernaut,ability:charge;ability:slam;ability:mortalStrike,1,many,1,TRUE
improvedMortalStrike,ability:mortalStrike,1,multiplier,1.03,TRUE
improvedMortalStrike,ability:mortalStrike,2,multiplier,1.03,TRUE
improvedMortalStrike,ability:mortalStrike,3,multiplier,1.03,TRUE
improvedMortalStrike,ability:mortalStrike,1,coolDownReduction,-0.33,TRUE
improvedMortalStrike,ability:mortalStrike,2,coolDownReduction,-0.66,TRUE
improvedMortalStrike,ability:mortalStrike,3,coolDownReduction,-1,TRUE
unrelentingAssualt,ability:overpower;ability:revenge,1,multiplier,1.1,TRUE
unrelentingAssualt,ability:overpower;ability:revenge,2,multiplier,1.2,TRUE
unrelentingAssualt,ability:overpower;ability:revenge,1,coolDownReduction,2,TRUE
unrelentingAssualt,ability:overpower;ability:revenge,2,coolDownReduction,4,TRUE
suddenDeath,ability:execute,1,proc,1.03,TRUE
suddenDeath,ability:execute,2,proc,1.06,TRUE
suddenDeath,ability:execute,3,proc,1.1,TRUE
wreckingCrew,ability:all,1,proc,1.02,TRUE
wreckingCrew,ability:all,2,proc,1.04,TRUE
wreckingCrew,ability:all,3,proc,1.06,TRUE
wreckingCrew,ability:all,4,proc,1.08,TRUE
wreckingCrew,ability:all,5,proc,1.1,TRUE
bladeStorm,ability:bladestorm,1,enable,1,TRUE
